id,filename,status,issue_codes,path
lobby_plant_01,lobby_plant_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\lobby_plant_01.png
locked_medication_cart_01,locked_medication_cart_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\locked_medication_cart_01.png
mammography_unit_01,mammography_unit_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mammography_unit_01.png
mayo_stand_01,mayo_stand_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mayo_stand_01.png
meal_tray_01,meal_tray_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\meal_tray_01.png
medical_cart_base_01,medical_cart_base_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medical_cart_base_01.png
medical_inventory_first_aid_kit_01,medical_inventory_first_aid_kit_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medical_inventory_first_aid_kit_01.png
medical_stool_01,medical_stool_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medical_stool_01.png
medication_delivery_cart_01,medication_delivery_cart_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medication_delivery_cart_01.png
medication_pickup_counter_01,medication_pickup_counter_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medication_pickup_counter_01.png
medication_sorting_tray_station_01,medication_sorting_tray_station_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\medication_sorting_tray_station_01.png
mobile_oxygen_air_manifold_01,mobile_oxygen_air_manifold_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mobile_oxygen_air_manifold_01.png
mobile_radiation_shield_01,mobile_radiation_shield_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mobile_radiation_shield_01.png
mri_ferromagnetic_screening_station_01,mri_ferromagnetic_screening_station_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mri_ferromagnetic_screening_station_01.png
mri_safe_equipment_cart_01,mri_safe_equipment_cart_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mri_safe_equipment_cart_01.png
mri_scanner_01,mri_scanner_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\mri_scanner_01.png
nuclear_medicine_gamma_camera_01,nuclear_medicine_gamma_camera_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\nuclear_medicine_gamma_camera_01.png
nurse_call_panel_01,nurse_call_panel_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\nurse_call_panel_01.png
operating_table_01,operating_table_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\operating_table_01.png
operating_table_raised_01,operating_table_raised_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\operating_table_raised_01.png
otoscope_ophthalmoscope_unit_01,otoscope_ophthalmoscope_unit_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\otoscope_ophthalmoscope_unit_01.png
